"","CitationName","n"
"179","IX Cong. Latinoamer. Zool. [abstracts], Arequipa, Peru",1
"180","J. Mammal. Soc. Japan",1
"181","J. Zool.",1
"182","J. Zool. London",1
"183","J. Zool., Lond.",1
"184","Living New World Monkeys",1
"185","Los Angeles Co. Nat. Hist. Mus., Contr. Sci.",1
"186","Los Angeles Cty. Mus. Contrib. Sci.",1
"187","Mammal. Biol.",1
"188","Mar. Mam. Sci.",1
"189","Marine Mammal Sci.",1
"190","Mastozool. Trop.",1
"191","Mem. Queensland Mus.",1
"192","Mem. Soc. Cien. Nat. La Salle",1
"193","Mem. Soc. Cienc. Nat. La Salle",1
"194","Nat. Geog. Res. Explor.",1
"195","Notulas Faunisticas",1
"196","Occ. Pap. Mus. Texas Tech. Univ.",1
"197","Occas. Pap. Bernice P. Bishop Mus.",1
"198","Occas. Pap. Mus. Nat. Hist., Univ. Kansas",1
"199","Occas. Pap. Mus. Zool. Univ. Michigan",1
"200","Occas. Pap., Mus. Texas Tech Univ.",1
"201","Occas. Papers, Mus. Texas Tech Univ",1
"202","Oryx",1
"203","Papeis Avulsos de Zoologia, São Paulo",1
"204","Physis. Sec. C.",1
"205","Primate Eye",1
"206","Proc. 4th Int. Bat Res. Conf. Nairobi",1
"207","Proc. 5th Internat. Bat Res. Conf., (D. E. Wilson and A. L. Gardner, eds.), Texas Tech Press.",1
"208","Proc. Bio. Soc. Wash.",1
"209","Proc. Fauna SR Serbia, Serbian Acad. Sci. and Arts, Belgrade",1
"210","Publ. Mus. Hist. Nat., Ser. A Zool., Univ. Nac. Mayor de San Marcos",1
"211","R. Ontario Mus. Life Sci. Occas. Pap.",1
"212","Raffles Bulletin of Zoology",1
"213","Rec. West, Aust. Mus.",1
"214","Rec. West. Aust. Mus.12",1
"215","Resúmenes VI Congreso Iberoamericano de Conservación v Zoología de Vertebrados",1
"216","Resumenes VII Jornadas Argentinas Zoologia, Mar del Plata",1
"217","Rev. Acad. Colomb. Cienc.",1
"218","Rev. Brasil. Biol.",1
"219","Rev. Chilena Hist. Nat.",1
"220","Rev. Nordest. Biol.",1
"221","Revista de Biologia Tropical",1
"222","Revta Bras. Biol.",1
"223","Russian J. Theriol.",1
"224","S. Afr. J. Zool.",1
"225","Säugetier. Mitt.",1
"226","Science and Technology news. Forest Inventory and Planning Institue (Hanoi)",1
"227","Senk. Biol.",1
"228","Southwest. Nat.",1
"229","SSugetierkdl. Mitt.",1
"230","Stud. Neotrop. Fauna Envir.",1
"231","Stuttg. Beitr. Naturk. ser. A",1
"232","Syst. Zool.",1
"233","The Kingdon Field Guide to African Mammals",1
"234","The Mammals of Suriname",1
"235","Trans. R. Soc. S. Aust.",1
"236","Trop. Zool.",1
"237","Vest. Zool.",1
"238","Vict. Nat.",1
"239","Z. geol. Wiss., Berlin",1
"240","Z. Säugtierk.",1
"241","Zool. Abh. Mus. Tierk. Dresden",1
"242","Zool. Garten, NF",1
"243","Zool. Jour. Linnean Soc.",1
"244","Zool. Meded. Rijksmus. Nat. Hist. Leiden",1
"245","Zool. Res.",1
"246","Zool. Res. Kunming",1
"247","Zool. Research",1
"248","Zool. Verhandel.",1
"249","Zool. Zhurnal",1
"250","Zoologica Scripta",1
"251","Zoologische Mededelingen",1
