"","CitationName","n"
"188","Gryzuny Severnovo Kavkaza.",1
"189","Guia de identificação de cervídeos Brasileiros",1
"190","Hist. Nat.",1
"191","Hist. Nat., Corrientes",1
"192","Iheringia",1
"193","in Kitchener et al., 1993<i>a</i>",1
"194","In von Helversen, Heller, Mayer, Nemeth, Volleth, and Gombkötö, Naturwissenschaften",1
"195","IX Cong. Latinoamer. Zool. [abstracts], Arequipa, Peru",1
"196","J. Mammal. Soc. Japan",1
"197","J. Zool.",1
"198","J. Zool. London",1
"199","J. Zool., Lond.",1
"200","Living New World Monkeys",1
"201","Los Angeles Co. Nat. Hist. Mus., Contr. Sci.",1
"202","Mammal. Biol.",1
"203","Mar. Mam. Sci.",1
"204","Marine Mammal Sci.",1
"205","Mastozool. Trop.",1
"206","Mem. Queensland Mus.",1
"207","Mem. Soc. Cien. Nat. La Salle",1
"208","Mem. Soc. Cienc. Nat. La Salle",1
"209","Nat. Geog. Res. Explor.",1
"210","Notulas Faunisticas",1
"211","Occ. Pap. Mus. Texas Tech. Univ.",1
"212","Occas. Pap. Bernice P. Bishop Mus.",1
"213","Occas. Pap. Mus. Nat. Hist., Univ. Kansas",1
"214","Occas. Pap. Mus. Zool. Univ. Michigan",1
"215","Occas. Pap., Mus. Texas Tech Univ.",1
"216","Occas. Papers, Mus. Texas Tech Univ",1
"217","Oryx",1
"218","Papeis Avulsos de Zoologia, São Paulo",1
"219","Physis. Sec. C.",1
"220","Primate Eye",1
"221","Proc. 4th Int. Bat Res. Conf. Nairobi",1
"222","Proc. 5th Internat. Bat Res. Conf., (D. E. Wilson and A. L. Gardner, eds.), Texas Tech Press.",1
"223","Proc. Bio. Soc. Wash.",1
"224","Proc. Fauna SR Serbia, Serbian Acad. Sci. and Arts, Belgrade",1
"225","Publ. Mus. Hist. Nat., Ser. A Zool., Univ. Nac. Mayor de San Marcos",1
"226","R. Ontario Mus. Life Sci. Occas. Pap.",1
"227","Raffles Bulletin of Zoology",1
"228","Rec. West, Aust. Mus.",1
"229","Rec. West. Aust. Mus.12",1
"230","Resúmenes VI Congreso Iberoamericano de Conservación v Zoología de Vertebrados",1
"231","Resumenes VII Jornadas Argentinas Zoologia, Mar del Plata",1
"232","Rev. Acad. Colomb. Cienc.",1
"233","Rev. Brasil. Biol.",1
"234","Rev. Chilena Hist. Nat.",1
"235","Rev. Nordest. Biol.",1
"236","Revista de Biologia Tropical",1
"237","Revta Bras. Biol.",1
"238","Russian J. Theriol.",1
"239","S. Afr. J. Zool.",1
"240","Säugetier. Mitt.",1
"241","Science and Technology news. Forest Inventory and Planning Institue (Hanoi)",1
"242","Senk. Biol.",1
"243","Southwest. Nat.",1
"244","SSugetierkdl. Mitt.",1
"245","Stud. Neotrop. Fauna Envir.",1
"246","Stuttg. Beitr. Naturk. ser. A",1
"247","Syst. Zool.",1
"248","The Kingdon Field Guide to African Mammals",1
"249","The Mammals of Suriname",1
"250","Trans. R. Soc. S. Aust.",1
"251","Trop. Zool.",1
"252","Vest. Zool.",1
"253","Vict. Nat.",1
"254","Z. geol. Wiss., Berlin",1
"255","Z. Säugtierk.",1
"256","Zool. Abh. Mus. Tierk. Dresden",1
"257","Zool. Garten, NF",1
"258","Zool. Jour. Linnean Soc.",1
"259","Zool. Meded. Rijksmus. Nat. Hist. Leiden",1
"260","Zool. Res.",1
"261","Zool. Res. Kunming",1
"262","Zool. Research",1
"263","Zool. Verhandel.",1
"264","Zool. Zhurnal",1
"265","Zoologica Scripta",1
"266","Zoologische Mededelingen",1
